id,label,text
0,14856354 14844592,14717598 14854817 15697796 15706258 47 14783134 14860175 46 88 102 105 99 117 104 110 99 14782903 14925723 14782910 14851258 14853009 15697796 15706258 14780847 14859960 14723494 14718849 14925738 14858372 14782608 14925708 102 119 119 15252363 14789283 102 119 119 14786472 14925757 14782903 14925723 14782910 14851258 14853009 15697796 15706258 14720387 14783134 14860175 14924472 14717871 15252363 14783134 14860175 14850991 14924472 14717871 14715050 14728608 14846090 15638927 14782641 14845854 15252363 15710612 14844578 15634601 15639967 14846120 14924962 15632285 15710336 15706282 15636660 15710612 14844578 14785186 15710891 14782359 15634601 15639967 15252363 14853024 14853024 14780567 15641759 15710612 14844578 14783119 14715264 14976901
1,15630486 15702410 14718849 15709093,99 126 108 100 117 106
2,14924216 14781104 14717848 14791612,14858120 14720698 88 14790566 14859144 15706241 14847916 88 75 110 105 114 127 14854577 14859690 14847406 14718849 14850444 14785469 14851759 14925245
3,15630486 15702410 14718849 15709093,14858412 14720387 14782100 15710881 88 110 104 116 14859956 14846135 14858412 14720387 14782100 15710881 110 104 116 14859956 14846135 14859143 14846102 14846850 15252363 14780834 14846116 14925245 14717879 14786441 14722189
4,14794687 14782344,14783417 14719931 70 105 99 117 104 110 99 14783417 14719931 14720179 14783914
5,14924216 14781104 14717848 14791612,14859664 14724236 14782910 14848641 14782384 14716559 14859664 14724236 14782910 14924962 14782124 14722950 14783409 14789561 14976902 15696045 15632262 14853009 14846609 14723726 15641759 15639958 14851005 14786216 14925757 14844578 14846116 15252363 14792078 14790791 14859664 14726542 15252380 14924962 14924703 14779559 14847935 14976902 14925741 14780320 14791344 14781858 14723726 15701922 15635335 14856354 14844592 15252363 14860201 14847406 14848641 14854577 14854334 14859664 14726542 15710364 15705739 14925195 14789542 15701922 15635335 15252363 14780567 14846592 14925195 14789542 14791055 15709118 15252363 14780567 14846592 14783409 14844578 14976901 15706542 15634607 14859664 14854553 14715319 14854565 14782384 14850991 14728632 14846865 14976902 14791302 15630472 15696045 14785422 14846865 14976902 14785418 14847398 15696045 14847406 14846865 15252363 14860201 14847406 15634607 14859664 14782100 15632285 14786237 14779040 14859664 15635645 14720387 14853024 15634607 14976901 14925225 14714302 14847384 15697082 15252381 14782124 14722950 14783409 14789561 15252381 15706533 14846610 14854553 14782641 15632262 15710649 15252363 14854553 14782641 15706282 15636660 14783914 14781858 14976901 14780567 14715319 15252381 83 44 55 14780567 14715319 15252363 14847927 15709089 15632280 14859681 14858412 14976901 15696045 15632262 14853009 14846609 15252381 14783626 14924443 14723463 14924216 15252363 14723494 14718849 14719878 14858372 15252363 14925738 14858120 15634607 14859664 14728632 14925709 14858370 14852992 14847918 14851759 14976901 14924703 14779559 14847935 15252381 14847873 14782641 14789042 14781582 14851225 14853043 14854565 15252363 14854539 14727561 15704228 14844340 14717871 15639447 15641759 14857399 15706303 14853021 15634601 15639967 14976901 14785715 14853021 14925225 14714302 14847384 15697082 15706288 14925708 15710906 14924472 14717871 14976901
6,14782903 15634620 15638402 15706300,14925240 15642297 88 110 104 116 14925240 15642297 110 104 116 14716559 14785451
7,14924216 14781104 14717848 14791612,100 115 117 107 88 100 102 117 88 102 105 99 117 104 110 99 14853303 14780832 14786237 15697082 14858120 15710881 14723726
8,14924216 14781104 14717848 14791612,96 102 104 112 14727830 14728347 14779522 14716854 14858120 15706291 14780821 15705739 14786971 14785451 14859667 14717871 14860223 14717871 14847384 15697082 15252381 39 54 41 14846120 14850991 14724263 15699333 14925452 15634611 14924988 14779272 15708340 15710891 39 53 41 14846120 15696045 14854557 14925454 14854800 14924436 14720387 14853024 14858120 39 52 41 14844591 14857864 15638402 15706300 14847384 15697082 39 51 41 14846120 15696045 14854557 14925454 15638402 15706300 14717579 15637157 14925756 15639967 39 50 41 14846120 15710084 15699333 14719884 14925473 14782641 14720387 14857864 14859922 14925225 14859681 39 49 41 15696045 14847407 15706551 14858369 15638402 15706300 15710364 14859681 15252363 14782910 14924216 14925708 14789542 15704197 14719884 39 48 41 14853019 15634611 14790566 14859144 15252367 15706542 14853019 14786205 15638402 15706300 14785715 14847399 15710908 14785209 15252366 39 63 41 14781602 14785422 14850991 14728632 14925473 14859668 15252363 14846093 14782641 14785715 14782903 14785415 14782903 14976902 14785415 14714026 14844290 14854590
9,14847385 14844587 14848641 14847398,14859960 14847900 88 88 77 80 53 55 55 88 52 64 88 14854542 14846612 15706553 14852992 14724264 14790838 14850996 14860165 14859960 14847900 15632285 14923942 14785422 15638167 14844587 14846143 100 104 105 100 98 119 115 98 100 111 39 77 80 53 55 55 14854817 14717848 14786237 15697082 14782092 15705775
